station,block_id,catalog_source,source_event_id,reference_time,unified_candidate_id,event_class,evaluation_group,existing_fold_roles,prior_pilot_fold_exposed,prospective_event_recall_eligibility
S12,S12_B1,PDS-levent,levent-00286,1970-04-28T02:26:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00287,1970-04-28T10:48:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00288,1970-04-28T14:13:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00289,1970-04-29T04:58:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00290,1970-04-29T18:36:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00291,1970-04-30T02:53:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00292,1970-04-30T06:27:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00293,1970-05-01T03:11:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00294,1970-05-01T06:30:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00295,1970-05-01T08:41:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00296,1970-05-03T10:00:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00297,1970-05-03T11:30:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00298,1970-05-05T12:28:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00299,1970-05-07T11:56:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00300,1970-05-09T16:05:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00301,1970-05-10T17:04:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00302,1970-05-11T01:40:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00303,1970-05-11T07:06:00,,,,,0,catalog_exclusion_only
S12,S12_B1,PDS-levent,levent-00304,1970-05-11T08:55:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01636,1971-08-07T07:11:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01637,1971-08-07T13:00:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01638,1971-08-07T14:49:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01639,1971-08-08T05:55:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01640,1971-08-08T06:59:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01641,1971-08-08T07:38:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01642,1971-08-08T10:40:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01643,1971-08-08T11:07:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01644,1971-08-08T21:00:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01645,1971-08-09T18:02:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01646,1971-08-10T10:28:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01647,1971-08-11T07:58:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01648,1971-08-13T17:03:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01649,1971-08-15T05:11:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01650,1971-08-15T22:07:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01651,1971-08-16T04:00:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01652,1971-08-16T06:13:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01653,1971-08-16T13:30:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01654,1971-08-17T00:48:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01655,1971-08-17T02:03:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01656,1971-08-17T07:23:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01657,1971-08-17T10:49:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01658,1971-08-17T13:41:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01659,1971-08-17T15:25:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01660,1971-08-17T17:40:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01661,1971-08-17T18:08:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01662,1971-08-17T19:23:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01663,1971-08-17T22:11:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01664,1971-08-18T07:59:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01665,1971-08-18T09:05:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01666,1971-08-18T09:35:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01667,1971-08-18T11:06:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01668,1971-08-18T11:20:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01669,1971-08-18T14:14:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01670,1971-08-18T15:12:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01671,1971-08-18T18:48:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01672,1971-08-18T20:55:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01673,1971-08-18T22:22:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01674,1971-08-18T22:31:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01675,1971-08-18T23:36:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01676,1971-08-19T00:52:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01677,1971-08-19T01:40:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01678,1971-08-19T10:33:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01679,1971-08-19T12:19:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01680,1971-08-19T12:33:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01681,1971-08-19T13:28:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01682,1971-08-19T15:13:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01683,1971-08-19T16:04:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01684,1971-08-19T21:05:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01685,1971-08-20T00:54:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01686,1971-08-20T07:34:00,levent-01686,deep_moonquake_assigned,deep-family:A8,test,1,exclude_prior_pilot_exposed
S14,S14_B1,PDS-levent,levent-01687,1971-08-20T12:31:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01688,1971-08-20T20:50:00,,,,,0,catalog_exclusion_only
S14,S14_B1,PDS-levent,levent-01689,1971-08-20T21:46:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-03093,1972-04-24T15:22:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-03094,1972-04-24T19:05:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-03095,1972-04-25T09:24:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-03096,1972-04-25T17:56:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-03097,1972-04-25T18:12:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-03098,1972-04-25T19:07:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-03099,1972-04-25T20:38:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-03100,1972-04-26T00:50:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-03101,1972-04-26T02:58:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-03102,1972-04-26T03:37:00,,,,,0,catalog_exclusion_only
S15,S15_B1,PDS-levent,levent-03103,1972-04-26T04:10:00,,,,,0,catalog_exclusion_only
