station,year,doy,block_id,day_in_block,selection_seed,prior_station_day_overlap,att_and_primary_mh_available,selected_primary_channel,selected_bytes,att_sample_rate_hz,waveform_sample_rate_hz,att_trace_start,att_trace_end,waveform_trace_start,waveform_trace_end,att_gap_fraction,att_longest_gap_seconds,waveform_gap_fraction,waveform_longest_gap_seconds,day_integrity_status,candidate_scan_window_count,passing_scan_window_count,scannable_union_seconds
S12,1975,006,S12_B1,1,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1975-01-06T00:01:39.137721Z,1975-01-07T00:00:00.722627Z,1975-01-06T00:01:39.250721Z,1975-01-07T00:00:01.288457Z,0.00833228392729715,91.77358490566037,0.00834102897759868,91.77358490566037,usable_integrity,1431,1429,86400
S12,1975,007,S12_B1,2,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1975-01-07T00:00:00.535000Z,1975-01-07T23:59:59.327453Z,1975-01-07T00:00:00.648000Z,1975-01-07T23:59:59.893283Z,0.00018868056380547734,10.867924528301886,0.00022536845121209792,10.867924528301886,usable_integrity,1431,1431,86400
S12,1975,008,S12_B1,3,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1975-01-08T00:00:00.533000Z,1975-01-08T23:59:58.721679Z,1975-01-08T00:00:00.646000Z,1975-01-08T23:59:59.287509Z,0.006485066178423178,538.566037735849,0.006509524940949559,538.566037735849,usable_integrity,1431,1416,86040
S12,1975,009,S12_B1,4,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1975-01-09T00:00:00.508000Z,1975-01-09T23:59:58.696679Z,1975-01-09T00:00:00.621000Z,1975-01-09T23:59:59.262509Z,0.00018868188234636403,9.660377358490566,0.0001921759912787041,9.660377358490566,usable_integrity,1431,1431,86400
S12,1975,010,S12_B1,5,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1975-01-10T00:00:00.569000Z,1975-01-10T23:59:58.153906Z,1975-01-10T00:00:00.682000Z,1975-01-10T23:59:58.719736Z,6.988266700210347e-06,0.6037735849056604,8.735333375262934e-06,0.6037735849056604,usable_integrity,1431,1431,86400
S12,1975,011,S12_B1,6,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1975-01-11T00:00:00.087000Z,1975-01-11T23:59:58.275679Z,1975-01-11T00:00:00.200000Z,1975-01-11T23:59:58.841509Z,0.0005939985184978127,48.301886792452834,0.0005939985184978127,48.301886792452834,usable_integrity,1431,1431,86400
S12,1975,012,S12_B1,7,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1975-01-12T00:00:00.229000Z,1975-01-12T23:59:58.417679Z,1975-01-12T00:00:00.342000Z,1975-01-12T23:59:58.983509Z,0.007414499154425639,508.37735849056605,0.007416246208891809,508.52830188679246,usable_integrity,1431,1416,86040
S12,1975,013,S12_B1,8,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1975-01-13T00:00:00.404000Z,1975-01-13T23:59:58.592679Z,1975-01-13T00:00:00.517000Z,1975-01-13T23:59:59.158509Z,4.891752505276105e-05,3.018867924528302,6.464101524829138e-05,3.018867924528302,usable_integrity,1431,1431,86400
S12,1975,014,S12_B1,9,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1975-01-14T00:00:00.579000Z,1975-01-14T23:59:58.163906Z,1975-01-14T00:00:00.692000Z,1975-01-14T23:59:58.729736Z,9.783573380294485e-05,2.4150943396226414,9.783573380294485e-05,2.4150943396226414,usable_integrity,1431,1431,86400
S12,1975,015,S12_B1,10,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1975-01-15T00:00:00.183000Z,1975-01-15T23:59:58.371679Z,1975-01-15T00:00:00.296000Z,1975-01-15T23:59:58.937509Z,0.008078379851570252,199.24528301886792,0.008118562104292163,199.24528301886792,usable_integrity,1431,1416,86220
S12,1975,016,S12_B1,11,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1975-01-16T00:00:00.405000Z,1975-01-16T23:59:57.989906Z,1975-01-16T00:00:00.518000Z,1975-01-16T23:59:58.555736Z,0.0022432336107675215,97.81132075471699,0.002391734278146991,97.81132075471699,usable_integrity,1431,1431,86400
S12,1975,017,S12_B1,12,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1975-01-17T00:00:00.016000Z,1975-01-17T23:59:58.204679Z,1975-01-17T00:00:00.129000Z,1975-01-17T23:59:58.770509Z,0.004325706858237012,348.37735849056605,0.004334442130567863,348.37735849056605,usable_integrity,1431,1419,86220
S12,1975,018,S12_B1,13,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1975-01-18T00:00:00.252000Z,1975-01-18T23:59:58.440679Z,1975-01-18T00:00:00.365000Z,1975-01-18T23:59:59.006509Z,0.0013766789193419894,53.735849056603776,0.0013836671372066695,53.735849056603776,usable_integrity,1431,1431,86400
S12,1975,019,S12_B1,14,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1975-01-19T00:00:00.490000Z,1975-01-19T23:59:58.074906Z,1975-01-19T00:00:00.603000Z,1975-01-19T23:59:58.640736Z,0.00030748373480925527,12.075471698113208,0.00030923080148430787,12.075471698113208,usable_integrity,1431,1431,86400
S12,1976,033,S12_B2,1,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1976-02-02T00:00:00.324000Z,1976-02-03T00:00:02.739094Z,1976-02-02T00:00:00.437000Z,1976-02-03T00:00:03.304925Z,0.022493972956919746,1546.2641509433963,0.022502707801963593,1546.2641509433963,usable_integrity,1431,1391,84540
S12,1976,034,S12_B2,2,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1976-02-03T00:00:00.272000Z,1976-02-04T00:00:02.687094Z,1976-02-03T00:00:00.385000Z,1976-02-04T00:00:03.252925Z,0.054491457321547115,3091.3207547169814,0.05451067398064358,3091.3207547169814,usable_integrity,1431,1341,82080
S12,1976,035,S12_B2,3,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1976-02-04T00:00:00.212000Z,1976-02-05T00:00:02.627094Z,1976-02-04T00:00:00.325000Z,1976-02-05T00:00:03.192925Z,0.3956814926103211,33841.50943396227,0.3957146850214877,33841.50943396227,reject_integrity,1431,851,52680
S12,1976,036,S12_B2,4,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1533977,1.65625,6.625,1976-02-05T00:00:00.154000Z,1976-02-06T00:00:02.569094Z,1976-02-05T00:00:00.267000Z,1976-02-06T00:00:03.134925Z,0.21606512700464695,4208.905660377359,0.21647042381468154,4208.905660377359,reject_integrity,1431,1009,63240
S12,1976,037,S12_B2,5,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1976-02-06T00:00:00.095000Z,1976-02-07T00:00:02.510094Z,1976-02-06T00:00:00.208000Z,1976-02-07T00:00:03.075925Z,0.08610460850424513,4454.641509433963,0.08610984941127145,4454.641509433963,usable_integrity,1431,1280,80040
S12,1976,038,S12_B2,6,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1976-02-07T00:00:00.035000Z,1976-02-08T00:00:03.053868Z,1976-02-07T00:00:00.148000Z,1976-02-08T00:00:03.619698Z,0.06263189523849454,2591.396226415094,0.06284677092504856,2591.396226415094,usable_integrity,1431,1311,83340
S12,1976,039,S12_B2,7,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1976-02-08T00:00:00.578000Z,1976-02-09T00:00:02.993094Z,1976-02-08T00:00:00.691000Z,1976-02-09T00:00:03.558925Z,0.0016351629922085182,66.41509433962264,0.001645644806261137,66.41509433962264,usable_integrity,1431,1431,86400
S12,1976,040,S12_B2,8,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1976-02-09T00:00:00.517000Z,1976-02-10T00:00:02.932094Z,1976-02-09T00:00:00.630000Z,1976-02-10T00:00:03.497925Z,0.13061737884769925,10618.566037735849,0.13062261975472556,10618.566037735849,questionable_integrity,1431,1233,75600
S12,1976,041,S12_B2,9,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1976-02-10T00:00:00.452000Z,1976-02-11T00:00:02.867094Z,1976-02-10T00:00:00.565000Z,1976-02-11T00:00:03.432925Z,0.08227525243702177,6004.528301886792,0.08229272212710946,6004.528301886792,usable_integrity,1431,1292,79860
S12,1976,042,S12_B2,10,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1976-02-11T00:00:00.222000Z,1976-02-12T00:00:02.033321Z,1976-02-11T00:00:00.335000Z,1976-02-12T00:00:02.599151Z,0.060690127459749554,2878.7924528301887,0.06072681406529517,2878.7924528301887,usable_integrity,1431,1335,81720
S12,1976,043,S12_B2,11,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1976-02-12T00:00:00.441000Z,1976-02-13T00:00:01.044774Z,1976-02-12T00:00:00.554000Z,1976-02-13T00:00:01.610604Z,0.08317144414473593,4286.792452830188,0.08318716719542704,4286.792452830188,usable_integrity,1431,1299,79560
S12,1976,044,S12_B2,12,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1976-02-13T00:00:00.262000Z,1976-02-14T00:00:00.865774Z,1976-02-13T00:00:00.375000Z,1976-02-14T00:00:01.431604Z,0.08791631144218809,7484.377358490566,0.08791980545345278,7484.377358490566,usable_integrity,1431,1300,79080
S12,1976,045,S12_B2,13,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1976-02-14T00:00:00.377000Z,1976-02-15T00:00:00.377000Z,1976-02-14T00:00:00.490000Z,1976-02-15T00:00:00.942830Z,0.19621106770742341,16909.88679245283,0.19621106770742341,16909.88679245283,questionable_integrity,1431,1143,69660
S12,1976,046,S12_B2,14,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1976-02-15T00:00:00.007000Z,1976-02-16T00:00:00.610774Z,1976-02-15T00:00:00.120000Z,1976-02-16T00:00:01.176604Z,0.005282945032214784,283.77358490566036,0.0052969210772735534,283.77358490566036,usable_integrity,1431,1412,86280
S14,1975,287,S14_B1,1,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881,1.65625,6.625,1975-10-14T00:00:00.018000Z,1975-10-15T00:00:03.036868Z,1975-10-14T00:00:00.093000Z,1975-10-15T00:00:03.564698Z,0.008657917907005996,234.8679245283019,0.008766229228683633,234.8679245283019,usable_integrity,1431,1415,86280
S14,1975,288,S14_B1,2,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1546265,1.65625,6.625,1975-10-15T00:00:54.519156Z,1975-10-16T00:00:05.613496Z,1975-10-15T00:00:54.594156Z,1975-10-16T00:00:06.141326Z,0.00016081666899734302,4.226415094339623,0.0014648300936931898,4.226415094339623,usable_integrity,1431,1431,86400
