station,year,doy,block_id,day_in_block,selection_seed,prior_station_day_overlap,att_and_primary_mh_available,selected_primary_channel,selected_bytes
S12,1970,118,S12_B1,1,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1970,119,S12_B1,2,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1970,120,S12_B1,3,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1970,121,S12_B1,4,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1533977
S12,1970,122,S12_B1,5,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1970,123,S12_B1,6,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1970,124,S12_B1,7,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1267737
S12,1970,125,S12_B1,8,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1970,126,S12_B1,9,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1970,127,S12_B1,10,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1970,128,S12_B1,11,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1970,129,S12_B1,12,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1970,130,S12_B1,13,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1970,131,S12_B1,14,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1975,352,S12_B2,1,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1975,353,S12_B2,2,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1975,354,S12_B2,3,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1975,355,S12_B2,4,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1517593
S12,1975,356,S12_B2,5,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1525785
S12,1975,357,S12_B2,6,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1975,358,S12_B2,7,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1975,359,S12_B2,8,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1975,360,S12_B2,9,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1975,361,S12_B2,10,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1533977
S12,1975,362,S12_B2,11,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1975,363,S12_B2,12,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1975,364,S12_B2,13,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S12,1975,365,S12_B2,14,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S14,1971,219,S14_B1,1,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S14,1971,220,S14_B1,2,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S14,1971,221,S14_B1,3,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S14,1971,222,S14_B1,4,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S14,1971,223,S14_B1,5,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1538073
S14,1971,224,S14_B1,6,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S14,1971,225,S14_B1,7,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1533977
S14,1971,226,S14_B1,8,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1533977
S14,1971,227,S14_B1,9,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S14,1971,228,S14_B1,10,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S14,1971,229,S14_B1,11,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S14,1971,230,S14_B1,12,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S14,1971,231,S14_B1,13,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S14,1971,232,S14_B1,14,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881
S14,1975,151,S14_B2,1,lunaseis-contiguous-evaluation-v0.2,0,1,MH1,1529881
S14,1975,152,S14_B2,2,lunaseis-contiguous-evaluation-v0.2,0,1,MH1,1529881
S14,1975,153,S14_B2,3,lunaseis-contiguous-evaluation-v0.2,0,1,MH1,1566745
S14,1975,154,S14_B2,4,lunaseis-contiguous-evaluation-v0.2,0,1,MH1,1529881
S14,1975,155,S14_B2,5,lunaseis-contiguous-evaluation-v0.2,0,1,MH1,1529881
S14,1975,156,S14_B2,6,lunaseis-contiguous-evaluation-v0.2,0,1,MH1,1529881
S14,1975,157,S14_B2,7,lunaseis-contiguous-evaluation-v0.2,0,1,MH1,1529881
S14,1975,158,S14_B2,8,lunaseis-contiguous-evaluation-v0.2,0,1,MH1,1533977
