station,year,doy,selection_rank_within_station_year,archive_days_available_in_station_year,att_and_at_least_one_mh_available,available_selected_channels,selected_bytes,selection_seed,selected_primary_channel,att_gap_fraction,channel_gap_fraction,day_integrity_status
S12,1969,323,15,43,1,ATT;MH1;MH2;MHZ,917606,lunaseis-independent-background-v0.1,MHZ,0.0035948624877844477,0.0036341267625296663,usable_integrity
S12,1969,325,6,43,1,ATT;MH1;MH2;MHZ,2265191,lunaseis-independent-background-v0.1,MHZ,0.07174502459749553,0.07186906026386404,usable_integrity
S12,1969,326,27,43,1,ATT;MH1;MH2;MHZ,2261095,lunaseis-independent-background-v0.1,MHZ,0.00911930567493344,0.009133281622327974,usable_integrity
S12,1969,327,29,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.005625318826299938,0.005651523727664689,usable_integrity
S12,1969,328,10,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.055359114477785076,0.05537483752847619,usable_integrity
S12,1969,329,20,43,1,ATT;MH1;MH2;MHZ,1888359,lunaseis-independent-background-v0.1,MHZ,0.026568550212045527,0.026570645523576446,usable_integrity
S12,1969,330,22,43,1,ATT;MH1;MH2;MHZ,2068583,lunaseis-independent-background-v0.1,MHZ,0.003773267848549889,0.003786634688094347,usable_integrity
S12,1969,331,31,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.006869226146385096,0.006876214168914481,usable_integrity
S12,1969,332,17,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.0057721066092717085,0.005779094631801093,usable_integrity
S12,1969,333,3,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.02507302483543207,0.02507302483543207,usable_integrity
S12,1969,334,5,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.019573314326044877,0.019578555306317826,usable_integrity
S12,1969,337,7,43,1,ATT;MH1;MH2;MHZ,2265191,lunaseis-independent-background-v0.1,MHZ,0.06400150937067628,0.06409060416754014,usable_integrity
S12,1969,339,16,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.030215575975682193,0.0302208168827085,usable_integrity
S12,1969,341,1,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.02775564965829525,0.027774866183109023,usable_integrity
S12,1969,342,19,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.052800022361047055,0.0528314675834696,usable_integrity
S12,1969,343,26,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.005890738333822481,0.005918689642642517,usable_integrity
S12,1969,344,9,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.02613447374673319,0.026137967660335694,usable_integrity
S12,1969,345,30,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.010013556384777716,0.01003102595279024,usable_integrity
S12,1969,346,25,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.00720444984836415,0.0072131846323704105,usable_integrity
S12,1969,349,8,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.16329853395385238,0.16330028091065363,usable_integrity
S12,1969,350,21,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.19403798582868642,0.19403973278548767,usable_integrity
S12,1969,351,12,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.03171774768353528,0.03171600072673403,usable_integrity
S12,1969,352,13,43,1,ATT;MH1;MH2;MHZ,2261095,lunaseis-independent-background-v0.1,MHZ,0.028552261959666262,0.028594188922896314,usable_integrity
S12,1969,354,32,43,1,ATT;MH1;MH2;MHZ,2256999,lunaseis-independent-background-v0.1,MHZ,0.004619018336314848,0.004676668716457961,usable_integrity
S12,1969,355,14,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.07621030858676207,0.07627494689177101,usable_integrity
S12,1969,356,18,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1,MHZ,0.02206103296227193,0.02206103296227193,usable_integrity
