station,year,doy,selection_rank_within_station_year,archive_days_available_in_station_year,att_and_at_least_one_mh_available,available_selected_channels,selected_bytes,selection_seed
S12,1969,323,15,43,1,ATT;MH1;MH2;MHZ,917606,lunaseis-independent-background-v0.1
S12,1969,325,6,43,1,ATT;MH1;MH2;MHZ,2265191,lunaseis-independent-background-v0.1
S12,1969,326,27,43,1,ATT;MH1;MH2;MHZ,2261095,lunaseis-independent-background-v0.1
S12,1969,327,29,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,328,10,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,329,20,43,1,ATT;MH1;MH2;MHZ,1888359,lunaseis-independent-background-v0.1
S12,1969,330,22,43,1,ATT;MH1;MH2;MHZ,2068583,lunaseis-independent-background-v0.1
S12,1969,331,31,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,332,17,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,333,3,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,334,5,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,337,7,43,1,ATT;MH1;MH2;MHZ,2265191,lunaseis-independent-background-v0.1
S12,1969,339,16,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,341,1,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,342,19,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,343,26,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,344,9,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,345,30,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,346,25,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,349,8,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,350,21,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,351,12,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,352,13,43,1,ATT;MH1;MH2;MHZ,2261095,lunaseis-independent-background-v0.1
S12,1969,354,32,43,1,ATT;MH1;MH2;MHZ,2256999,lunaseis-independent-background-v0.1
S12,1969,355,14,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,356,18,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,357,23,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,358,4,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,360,24,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,361,28,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,362,11,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1969,364,2,43,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1970,020,19,365,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
S12,1970,041,27,365,1,ATT;MH1;MH2;MHZ,2252903,lunaseis-independent-background-v0.1
