event_id,event_class,reference_time,station,positive_channels,required_station_days,crosses_day_boundary,complete_positive_channels,missing_positive_channels,station_request_usable
levent-00010,artificial_impact_lm,1969-11-20T22:17:00,S12,MH2;MHZ,1969-324,0,MH2;MHZ,,1
levent-00010,artificial_impact_lm,1969-11-20T22:17:00,S14,SHZ,1969-324,0,,SHZ,0
levent-00017,deep_moonquake_assigned,1969-11-30T03:24:00,S12,MH2;MHZ,1969-334,0,MH2;MHZ,,1
levent-00017,deep_moonquake_assigned,1969-11-30T03:24:00,S14,SHZ,1969-334,0,,SHZ,0
levent-00022,natural_impact,1969-12-01T05:28:00,S12,MH2;MHZ,1969-335,0,MH2;MHZ,,1
levent-00022,natural_impact,1969-12-01T05:28:00,S14,SHZ,1969-335,0,,SHZ,0
levent-00030,natural_impact,1969-12-08T01:44:00,S12,MH2;MHZ,1969-342,0,MH2;MHZ,,1
levent-00030,natural_impact,1969-12-08T01:44:00,S14,SHZ,1969-342,0,,SHZ,0
levent-00039,deep_moonquake_assigned,1969-12-12T01:54:00,S12,MH2;MHZ,1969-346,0,MH2;MHZ,,1
levent-00039,deep_moonquake_assigned,1969-12-12T01:54:00,S14,SHZ,1969-346,0,,SHZ,0
levent-00051,natural_impact,1969-12-14T09:03:00,S12,MH2;MHZ,1969-348,0,MH2;MHZ,,1
levent-00051,natural_impact,1969-12-14T09:03:00,S14,SHZ,1969-348,0,,SHZ,0
levent-00055,natural_impact,1969-12-16T00:27:00,S12,MH2;MHZ,1969-350,0,MH2;MHZ,,1
levent-00055,natural_impact,1969-12-16T00:27:00,S14,SHZ,1969-350,0,,SHZ,0
levent-00094,deep_moonquake_assigned,1970-01-09T02:03:00,S12,MH2;MHZ,1970-009,0,MH2;MHZ,,1
levent-00094,deep_moonquake_assigned,1970-01-09T02:03:00,S14,SHZ,1970-009,0,,SHZ,0
levent-00097,deep_moonquake_assigned,1970-01-10T04:09:00,S12,MH2;MHZ,1970-010,0,MH2;MHZ,,1
levent-00097,deep_moonquake_assigned,1970-01-10T04:09:00,S14,SHZ,1970-010,0,,SHZ,0
levent-00104,natural_impact,1970-01-19T20:25:00,S12,MH1;MH2;MHZ,1970-019,0,MH1;MH2;MHZ,,1
levent-00104,natural_impact,1970-01-19T20:25:00,S14,SHZ,1970-019,0,,SHZ,0
levent-00114,natural_impact,1970-01-24T06:53:00,S12,MH2;MHZ,1970-024,0,MH2;MHZ,,1
levent-00114,natural_impact,1970-01-24T06:53:00,S14,SHZ,1970-024,0,,SHZ,0
levent-00125,deep_moonquake_assigned,1970-02-02T10:59:00,S12,MH2;MHZ,1970-033,0,MH2;MHZ,,1
levent-00125,deep_moonquake_assigned,1970-02-02T10:59:00,S14,SHZ,1970-033,0,,SHZ,0
levent-00126,deep_moonquake_assigned,1970-02-02T14:30:00,S12,MH2;MHZ,1970-033,0,MH2;MHZ,,1
levent-00126,deep_moonquake_assigned,1970-02-02T14:30:00,S14,SHZ,1970-033,0,,SHZ,0
levent-00132,deep_moonquake_assigned,1970-02-04T20:40:00,S12,MH2;MHZ,1970-035,0,MH2;MHZ,,1
levent-00132,deep_moonquake_assigned,1970-02-04T20:40:00,S14,SHZ,1970-035,0,,SHZ,0
levent-00137,deep_moonquake_assigned,1970-02-06T08:06:00,S12,MH2;MHZ,1970-037,0,MH2;MHZ,,1
levent-00137,deep_moonquake_assigned,1970-02-06T08:06:00,S14,SHZ,1970-037,0,,SHZ,0
levent-00138,deep_moonquake_assigned,1970-02-07T01:33:00,S12,MH2;MHZ,1970-038,0,MH2;MHZ,,1
levent-00138,deep_moonquake_assigned,1970-02-07T01:33:00,S14,SHZ,1970-038,0,,SHZ,0
levent-00139,deep_moonquake_assigned,1970-02-07T03:26:00,S12,MH2;MHZ,1970-038,0,MH2;MHZ,,1
levent-00139,deep_moonquake_assigned,1970-02-07T03:26:00,S14,SHZ,1970-038,0,,SHZ,0
levent-00146,natural_impact,1970-02-18T01:41:00,S12,MH2;MHZ,1970-049,0,MH2;MHZ,,1
levent-00146,natural_impact,1970-02-18T01:41:00,S14,SHZ,1970-049,0,,SHZ,0
levent-00186,natural_impact,1970-03-03T20:17:00,S12,MH2;MHZ,1970-062,0,MH2;MHZ,,1
levent-00186,natural_impact,1970-03-03T20:17:00,S14,SHZ,1970-062,0,,SHZ,0
levent-00197,natural_impact,1970-03-14T12:00:00,S12,MH2;MHZ,1970-073,0,MH2;MHZ,,1
levent-00197,natural_impact,1970-03-14T12:00:00,S14,SHZ,1970-073,0,,SHZ,0
levent-00215,natural_impact,1970-03-25T03:32:00,S12,MH2;MHZ,1970-084,0,MH2;MHZ,,1
