fold,held_out_station,event_id,station,event_class,evaluation_group,reference_time,role
holdout_S12,S12,KO-SMQ-1,S15,shallow_moonquake,event:KO-SMQ-1,1971-11-30T01:07:57,train
holdout_S12,S12,KO-SMQ-10,S15,shallow_moonquake,event:KO-SMQ-10,1973-08-14T19:10:25,train
holdout_S12,S12,KO-SMQ-11,S15,shallow_moonquake,event:KO-SMQ-11,1973-08-24T04:07:35,train
holdout_S12,S12,KO-SMQ-12,S15,shallow_moonquake,event:KO-SMQ-12,1973-09-14T04:31:37,train
holdout_S12,S12,KO-SMQ-13,S15,shallow_moonquake,event:KO-SMQ-13,1973-10-14T23:07:04,train
holdout_S12,S12,KO-SMQ-14,S15,shallow_moonquake,event:KO-SMQ-14,1973-10-21T20:23:02,train
holdout_S12,S12,KO-SMQ-15,S15,shallow_moonquake,event:KO-SMQ-15,1973-11-03T17:37:13,train
holdout_S12,S12,KO-SMQ-16,S15,shallow_moonquake,event:KO-SMQ-16,1973-12-12T08:39:31,train
holdout_S12,S12,KO-SMQ-17,S15,shallow_moonquake,event:KO-SMQ-17,1973-12-26T07:37:04,train
holdout_S12,S12,KO-SMQ-18,S15,shallow_moonquake,event:KO-SMQ-18,1973-12-29T08:50:41,train
holdout_S12,S12,KO-SMQ-19,S15,shallow_moonquake,event:KO-SMQ-19,1974-06-21T19:17:30,train
holdout_S12,S12,KO-SMQ-2,S14,shallow_moonquake,event:KO-SMQ-2,1972-01-05T22:42:33,train
holdout_S12,S12,KO-SMQ-2,S15,shallow_moonquake,event:KO-SMQ-2,1972-01-05T22:42:33,train
holdout_S12,S12,KO-SMQ-20,S14,shallow_moonquake,event:KO-SMQ-20,1974-07-06T18:44:53,train
holdout_S12,S12,KO-SMQ-21,S15,shallow_moonquake,event:KO-SMQ-21,1974-08-30T10:47:49,train
holdout_S12,S12,KO-SMQ-22,S15,shallow_moonquake,event:KO-SMQ-22,1974-09-02T17:59:37,train
holdout_S12,S12,KO-SMQ-23,S15,shallow_moonquake,event:KO-SMQ-23,1974-12-04T03:43:17,train
holdout_S12,S12,KO-SMQ-24,S15,shallow_moonquake,event:KO-SMQ-24,1975-01-29T09:57:38,train
holdout_S12,S12,KO-SMQ-25,S15,shallow_moonquake,event:KO-SMQ-25,1975-03-19T03:05:53,train
holdout_S12,S12,KO-SMQ-26,S15,shallow_moonquake,shallow-repeat:KO-SMQ-26+KO-SMQ-40,1975-03-23T21:10:13,train
holdout_S12,S12,KO-SMQ-27,S15,shallow_moonquake,event:KO-SMQ-27,1975-04-03T05:21:57,train
holdout_S12,S12,KO-SMQ-28,S15,shallow_moonquake,event:KO-SMQ-28,1975-10-31T04:03:28,train
holdout_S12,S12,KO-SMQ-29,S15,shallow_moonquake,event:KO-SMQ-29,1975-11-21T16:10:49,train
holdout_S12,S12,KO-SMQ-3,S14,shallow_moonquake,event:KO-SMQ-3,1972-06-02T16:49:07,train
holdout_S12,S12,KO-SMQ-3,S15,shallow_moonquake,event:KO-SMQ-3,1972-06-02T16:49:07,train
holdout_S12,S12,KO-SMQ-30,S15,shallow_moonquake,event:KO-SMQ-30,1976-01-02T12:28:19,train
holdout_S12,S12,KO-SMQ-31,S15,shallow_moonquake,event:KO-SMQ-31,1976-01-18T13:20:35,train
holdout_S12,S12,KO-SMQ-32,S15,shallow_moonquake,event:KO-SMQ-32,1976-02-13T20:44:14,train
holdout_S12,S12,KO-SMQ-33,S15,shallow_moonquake,event:KO-SMQ-33,1976-02-29T21:09:51,train
