fold,role,label,event_id,event_class,evaluation_group,station,channel,window_start_nominal,window_end_nominal,sample_rate_hz,gap_fraction_audited,preprocessing_version
holdout_S12,test,event,levent-00010,artificial_impact_lm,event:levent-00010,S12,MHZ,1969-11-20T22:15:03.139453,1969-11-20T22:25:03.139453,6.625,0.005283018867924529,primary-mh-v0.1
holdout_S12,test,event,levent-00017,deep_moonquake_assigned,deep-family:A2,S12,MHZ,1969-11-30T03:21:59.943113,1969-11-30T03:31:59.943113,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00022,natural_impact,event:levent-00022,S12,MHZ,1969-12-01T05:26:00.780774,1969-12-01T05:36:00.780774,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00030,natural_impact,event:levent-00030,S12,MHZ,1969-12-08T01:42:00.308000,1969-12-08T01:52:00.308000,6.625,0.009559748427672956,primary-mh-v0.1
holdout_S12,test,event,levent-00039,deep_moonquake_assigned,deep-family:A6,S12,MHZ,1969-12-12T01:52:00.020170,1969-12-12T02:02:00.020170,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00051,natural_impact,event:levent-00051,S12,MHZ,1969-12-14T09:01:01.395189,1969-12-14T09:11:01.395189,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00055,natural_impact,event:levent-00055,S12,MHZ,1969-12-16T00:24:59.989528,1969-12-16T00:34:59.989528,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00094,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-01-09T02:01:00.541302,1970-01-09T02:11:00.541302,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00097,deep_moonquake_assigned,deep-family:A5,S12,MHZ,1970-01-10T04:07:00.415923,1970-01-10T04:17:00.415923,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00104,natural_impact,event:levent-00104,S12,MHZ,1970-01-19T20:23:02.136906,1970-01-19T20:33:02.136906,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00114,natural_impact,event:levent-00114,S12,MHZ,1970-01-24T06:51:00.636472,1970-01-24T07:01:00.636472,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00125,deep_moonquake_assigned,deep-family:A4,S12,MHZ,1970-02-02T10:57:01.563075,1970-02-02T11:07:01.563075,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00126,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-02-02T14:28:02.091377,1970-02-02T14:38:02.091377,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00132,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-02-04T20:38:02.860094,1970-02-04T20:48:02.860094,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00137,deep_moonquake_assigned,deep-family:A3,S12,MHZ,1970-02-06T08:04:01.513604,1970-02-06T08:14:01.513604,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00138,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-02-07T01:30:59.929698,1970-02-07T01:40:59.929698,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00139,deep_moonquake_assigned,deep-family:A5,S12,MHZ,1970-02-07T03:24:00.307057,1970-02-07T03:34:00.307057,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00146,natural_impact,event:levent-00146,S12,MHZ,1970-02-18T01:39:00.111472,1970-02-18T01:49:00.111472,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00186,natural_impact,event:levent-00186,S12,MHZ,1970-03-03T20:15:03.113453,1970-03-03T20:25:03.113453,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00197,natural_impact,event:levent-00197,S12,MHZ,1970-03-14T11:58:01.614547,1970-03-14T12:08:01.614547,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00215,natural_impact,event:levent-00215,S12,MHZ,1970-03-25T03:30:00.025113,1970-03-25T03:40:00.025113,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00217,natural_impact,event:levent-00217,S12,MHZ,1970-03-26T20:15:01.433132,1970-03-26T20:25:01.433132,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00224,deep_moonquake_assigned,deep-family:A6,S12,MHZ,1970-03-30T12:49:01.956425,1970-03-30T12:59:01.956425,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00225,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-03-30T17:38:02.333784,1970-03-30T17:48:02.333784,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00238,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-04-03T10:47:01.821906,1970-04-03T10:57:01.821906,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00240,natural_impact,event:levent-00240,S12,MHZ,1970-04-05T11:35:01.793906,1970-04-05T11:45:01.793906,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00255,artificial_impact_sivb,event:levent-00255,S12,MHZ,1970-04-15T01:07:00.085472,1970-04-15T01:17:00.085472,6.625,0.013081761006289308,primary-mh-v0.1
holdout_S12,test,event,levent-00271,natural_impact,event:levent-00271,S12,MHZ,1970-04-23T23:43:01.643906,1970-04-23T23:53:01.643906,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00274,natural_impact,event:levent-00274,S12,MHZ,1970-04-25T01:12:00.233943,1970-04-25T01:22:00.233943,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00280,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-04-26T14:27:01.226245,1970-04-26T14:37:01.226245,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00281,deep_moonquake_assigned,deep-family:A6,S12,MHZ,1970-04-26T15:10:01.150774,1970-04-26T15:20:01.150774,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00321,natural_impact,event:levent-00321,S12,MHZ,1970-05-20T16:43:01.190245,1970-05-20T16:53:01.190245,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00325,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-05-23T13:06:00.939660,1970-05-23T13:16:00.939660,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00329,deep_moonquake_assigned,deep-family:A6,S12,MHZ,1970-05-24T04:33:00.479528,1970-05-24T04:43:00.479528,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00333,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-05-25T12:10:01.338660,1970-05-25T12:20:01.338660,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00334,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-05-27T03:25:00.245415,1970-05-27T03:35:00.245415,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00357,natural_impact,event:levent-00357,S12,MHZ,1970-06-15T18:58:02.510208,1970-06-15T19:08:02.510208,6.625,0.00025157232704402514,primary-mh-v0.1
holdout_S12,test,event,levent-00365,deep_moonquake_assigned,deep-family:A7,S12,MHZ,1970-06-19T21:25:01.483962,1970-06-19T21:35:01.483962,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00376,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-06-22T11:56:01.031830,1970-06-22T12:06:01.031830,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00381,natural_impact,event:levent-00381,S12,MHZ,1970-06-26T19:59:02.795453,1970-06-26T20:09:02.795453,6.625,0.001761006289308176,primary-mh-v0.1
holdout_S12,test,event,levent-00393,natural_impact,event:levent-00393,S12,MHZ,1970-07-06T22:12:03.558698,1970-07-06T22:22:03.558698,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00408,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-07-16T03:46:00.141113,1970-07-16T03:56:00.141113,6.625,0.002012578616352201,primary-mh-v0.1
holdout_S12,test,event,levent-00414,deep_moonquake_assigned,deep-family:A7,S12,MHZ,1970-07-17T05:00:00.416057,1970-07-17T05:10:00.416057,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00415,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-07-18T00:31:00.126585,1970-07-18T00:41:00.126585,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00418,natural_impact,event:levent-00418,S12,MHZ,1970-07-20T05:04:00.524943,1970-07-20T05:14:00.524943,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00420,deep_moonquake_assigned,deep-family:A5,S12,MHZ,1970-07-20T11:15:01.053245,1970-07-20T11:25:01.053245,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00421,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-07-20T11:42:00.977774,1970-07-20T11:52:00.977774,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00423,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-07-23T05:33:00.586415,1970-07-23T05:43:00.586415,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00425,natural_impact,event:levent-00425,S12,MHZ,1970-07-27T03:38:00.716887,1970-07-27T03:48:00.716887,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00449,natural_impact,event:levent-00449,S12,MHZ,1970-08-07T08:38:01.247547,1970-08-07T08:48:01.247547,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00456,natural_impact,event:levent-00456,S12,MHZ,1970-08-11T00:10:59.893698,1970-08-11T00:20:59.893698,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00467,natural_impact,event:levent-00467,S12,MHZ,1970-08-13T16:24:02.439763,1970-08-13T16:34:02.439763,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00513,deep_moonquake_assigned,deep-family:A7,S12,MHZ,1970-09-08T10:46:01.879321,1970-09-08T10:56:01.879321,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00517,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-09-09T12:08:01.974264,1970-09-09T12:18:01.974264,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00530,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-09-13T23:01:01.930962,1970-09-13T23:11:01.930962,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00551,natural_impact,event:levent-00551,S12,MHZ,1970-09-26T19:55:03.130340,1970-09-26T20:05:03.130340,6.625,0.003270440251572327,primary-mh-v0.1
holdout_S12,test,event,levent-00556,natural_impact,event:levent-00556,S12,MHZ,1970-09-27T22:28:03.512698,1970-09-27T22:38:03.512698,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00557,deep_moonquake_assigned,deep-family:A8,S12,MHZ,1970-09-28T21:18:03.033868,1970-09-28T21:28:03.033868,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00563,deep_moonquake_assigned,deep-family:A7,S12,MHZ,1970-10-06T15:13:02.162849,1970-10-06T15:23:02.162849,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00566,deep_moonquake_assigned,deep-family:A13,S12,MHZ,1970-10-06T20:26:03.143981,1970-10-06T20:36:03.143981,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00600,natural_impact,event:levent-00600,S12,MHZ,1970-10-24T11:29:01.523075,1970-10-24T11:39:01.523075,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00604,deep_moonquake_assigned,deep-family:A8,S12,MHZ,1970-10-26T05:08:00.476830,1970-10-26T05:18:00.476830,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00614,deep_moonquake_assigned,deep-family:A7,S12,MHZ,1970-11-03T08:34:01.187660,1970-11-03T08:44:01.187660,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00615,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-11-03T17:12:02.848038,1970-11-03T17:22:02.848038,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00623,natural_impact,event:levent-00623,S12,MHZ,1970-11-07T10:07:01.629906,1970-11-07T10:17:01.629906,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00631,natural_impact,event:levent-00631,S12,MHZ,1970-11-12T12:48:01.341717,1970-11-12T12:58:01.341717,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00652,natural_impact,event:levent-00652,S12,MHZ,1970-11-30T01:42:00.171000,1970-11-30T01:52:00.171000,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00653,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-11-30T02:32:00.321943,1970-11-30T02:42:00.321943,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00654,deep_moonquake_assigned,deep-family:A6,S12,MHZ,1970-11-30T22:39:03.567226,1970-11-30T22:49:03.567226,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00662,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-12-03T16:36:02.273151,1970-12-03T16:46:02.273151,6.625,0.14088050314465408,primary-mh-v0.1
holdout_S12,test,event,levent-00665,natural_impact,event:levent-00665,S12,MHZ,1970-12-11T07:20:00.967717,1970-12-11T07:30:00.967717,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00668,natural_impact,event:levent-00668,S12,MHZ,1970-12-13T22:49:01.752849,1970-12-13T22:59:01.752849,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00683,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-12-27T20:32:02.970038,1970-12-27T20:42:02.970038,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00685,natural_impact,event:levent-00685,S12,MHZ,1970-12-28T07:41:01.186189,1970-12-28T07:51:01.186189,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00689,deep_moonquake_assigned,deep-family:A6,S12,MHZ,1970-12-28T20:26:03.072981,1970-12-28T20:36:03.072981,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00695,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1970-12-31T15:39:02.112792,1970-12-31T15:49:02.112792,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00696,natural_impact,event:levent-00696,S12,MHZ,1971-01-03T10:51:01.367019,1971-01-03T11:01:01.367019,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00701,natural_impact,event:levent-00701,S12,MHZ,1971-01-04T23:50:03.660642,1971-01-05T00:00:03.660642,6.625,0.005031446540880503,primary-mh-v0.1
holdout_S12,test,event,levent-00702,natural_impact,event:levent-00702,S12,MHZ,1971-01-05T00:45:00.222642,1971-01-05T00:55:00.222642,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00721,natural_impact,event:levent-00721,S12,MHZ,1971-01-15T12:38:00.748774,1971-01-15T12:48:00.748774,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00723,natural_impact,event:levent-00723,S12,MHZ,1971-01-17T17:49:01.478962,1971-01-17T17:59:01.478962,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00747,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1971-01-28T14:57:02.460623,1971-01-28T15:07:02.460623,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00748,natural_impact,event:levent-00748,S12,MHZ,1971-01-29T18:19:02.571566,1971-01-29T18:29:02.571566,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00752,natural_impact,event:levent-00752,S12,MHZ,1971-02-03T02:06:00.518913,1971-02-03T02:16:00.518913,6.625,0.0005031446540880503,primary-mh-v0.1
holdout_S12,train,event,levent-00756,artificial_impact_lm,event:levent-00756,S14,MHZ,1971-02-07T00:45:00.293415,1971-02-07T00:55:00.293415,6.625,0.04,primary-mh-v0.1
holdout_S12,test,event,levent-00766,natural_impact,event:levent-00766,S12,MHZ,1971-02-09T03:40:00.518830,1971-02-09T03:50:00.518830,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00767,deep_moonquake_assigned,deep-family:A8,S12,MHZ,1971-02-10T01:47:00.231472,1971-02-10T01:57:00.231472,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00781,natural_impact,event:levent-00781,S12,MHZ,1971-02-15T19:34:01.283547,1971-02-15T19:44:01.283547,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00801,natural_impact,event:levent-00801,S12,MHZ,1971-02-20T05:57:00.806415,1971-02-20T06:07:00.806415,6.625,0.00025157232704402514,primary-mh-v0.1
holdout_S12,test,event,levent-00810,deep_moonquake_assigned,deep-family:A6,S12,MHZ,1971-02-21T11:22:01.450660,1971-02-21T11:32:01.450660,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00820,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1971-02-22T15:48:02.157377,1971-02-22T15:58:02.157377,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00831,deep_moonquake_assigned,deep-family:A1,S12,MHZ,1971-02-25T12:15:01.952906,1971-02-25T12:25:01.952906,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00836,deep_moonquake_assigned,deep-family:A3,S12,MHZ,1971-02-27T07:07:00.972245,1971-02-27T07:17:00.972245,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00881,deep_moonquake_assigned,deep-family:A8,S12,MHZ,1971-03-10T17:37:01.279075,1971-03-10T17:47:01.279075,6.625,0.0,primary-mh-v0.1
holdout_S12,test,event,levent-00885,deep_moonquake_assigned,deep-family:A18,S12,MHZ,1971-03-11T21:22:01.591434,1971-03-11T21:32:01.591434,6.625,0.0,primary-mh-v0.1
holdout_S12,train,event,levent-00899,natural_impact,event:levent-00899,S14,MHZ,1971-03-14T23:12:04.277585,1971-03-14T23:22:04.277585,6.625,0.0,primary-mh-v0.1
